Training FashionMNIST score v2: 100 epochs, batch=256, device=auto
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
                    WARNING  High grad norm: 713.05 at epoch=51 step=11237     
[04/21/26 23:08:08] WARNING  High grad norm: 1406.47 at epoch=51 step=11238    
                    WARNING  High grad norm: 1230.70 at epoch=51 step=11239    
                    WARNING  High grad norm: 740.87 at epoch=51 step=11240     
                    WARNING  High grad norm: 1161.39 at epoch=51 step=11241    
[04/21/26 23:08:09] WARNING  High grad norm: 680.03 at epoch=51 step=11242     
                    WARNING  High grad norm: 833.17 at epoch=51 step=11243     
                    WARNING  High grad norm: 1087.65 at epoch=51 step=11244    
                    WARNING  High grad norm: 913.20 at epoch=51 step=11245     
                    WARNING  High grad norm: 1504.83 at epoch=51 step=11246    
[04/21/26 23:08:10] WARNING  High grad norm: 1081.21 at epoch=51 step=11247    
                    WARNING  High grad norm: 1054.23 at epoch=51 step=11248    
                    WARNING  High grad norm: 663.43 at epoch=51 step=11249     
                    WARNING  High grad norm: 687.74 at epoch=51 step=11250     
[04/21/26 23:08:11] WARNING  High grad norm: 632.46 at epoch=51 step=11251     
                    WARNING  High grad norm: 2401.18 at epoch=51 step=11252    
                    WARNING  High grad norm: 622.69 at epoch=51 step=11253     
                    WARNING  High grad norm: 1575.10 at epoch=51 step=11254    
                    WARNING  High grad norm: 1757.16 at epoch=51 step=11255    
[04/21/26 23:08:12] WARNING  High grad norm: 769.69 at epoch=51 step=11256     
                    WARNING  High grad norm: 605.64 at epoch=51 step=11257     
                    WARNING  High grad norm: 594.32 at epoch=51 step=11258     
                    WARNING  High grad norm: 697.71 at epoch=51 step=11259     
                    WARNING  High grad norm: 1043.75 at epoch=51 step=11260    
[04/21/26 23:08:13] WARNING  High grad norm: 992.07 at epoch=51 step=11261     
                    WARNING  High grad norm: 949.93 at epoch=51 step=11262     
                    WARNING  High grad norm: 910.54 at epoch=51 step=11263     
                    WARNING  High grad norm: 1455.60 at epoch=51 step=11264    
[04/21/26 23:08:14] WARNING  High grad norm: 1737.86 at epoch=51 step=11265    
                    WARNING  High grad norm: 1771.00 at epoch=51 step=11266    
                    WARNING  High grad norm: 601.44 at epoch=51 step=11267     
                    WARNING  High grad norm: 1085.60 at epoch=51 step=11268    
                    WARNING  High grad norm: 2212.45 at epoch=51 step=11269    
[04/21/26 23:08:15] WARNING  High grad norm: 881.59 at epoch=51 step=11270     
                    WARNING  High grad norm: 529.75 at epoch=51 step=11271     
                    WARNING  High grad norm: 1094.87 at epoch=51 step=11272    
                    WARNING  High grad norm: 1003.33 at epoch=51 step=11273    
[04/21/26 23:08:16] WARNING  High grad norm: 1444.84 at epoch=51 step=11274    
                    WARNING  High grad norm: 1875.10 at epoch=51 step=11275    
                    WARNING  High grad norm: 2707.59 at epoch=51 step=11276    
                    WARNING  High grad norm: 1251.47 at epoch=51 step=11277    
                    WARNING  High grad norm: 1924.14 at epoch=51 step=11278    
[04/21/26 23:08:17] WARNING  High grad norm: 821.76 at epoch=51 step=11279     
                    WARNING  High grad norm: 929.52 at epoch=51 step=11280     
                    WARNING  High grad norm: 1470.01 at epoch=51 step=11281    
                    WARNING  High grad norm: 1072.57 at epoch=51 step=11282    
                    WARNING  High grad norm: 1158.29 at epoch=51 step=11283    
[04/21/26 23:08:18] WARNING  High grad norm: 2068.63 at epoch=51 step=11284    
                    WARNING  High grad norm: 747.28 at epoch=51 step=11285     
                    WARNING  High grad norm: 2841.21 at epoch=51 step=11286    
                    WARNING  High grad norm: 1516.39 at epoch=51 step=11287    
[04/21/26 23:08:19] WARNING  High grad norm: 762.23 at epoch=51 step=11288     
                    WARNING  High grad norm: 627.24 at epoch=51 step=11289     
                    WARNING  High grad norm: 1483.07 at epoch=51 step=11290    
                    WARNING  High grad norm: 1340.85 at epoch=51 step=11291    
                    WARNING  High grad norm: 927.53 at epoch=51 step=11292     
[04/21/26 23:08:20] WARNING  High grad norm: 874.22 at epoch=51 step=11293     
                    WARNING  High grad norm: 1357.94 at epoch=51 step=11294    
                    WARNING  High grad norm: 1495.79 at epoch=51 step=11295    
                    WARNING  High grad norm: 478.30 at epoch=51 step=11296     
[04/21/26 23:08:21] WARNING  High grad norm: 700.23 at epoch=51 step=11297     
                    WARNING  High grad norm: 889.77 at epoch=51 step=11298     
                    WARNING  High grad norm: 1285.77 at epoch=51 step=11299    
                    INFO     epoch=51 step=11300 loss=487.3133                 
                             grad_norm=1285.7731 lr=1.00e-06                   
                    WARNING  High grad norm: 715.65 at epoch=51 step=11300     
                    WARNING  High grad norm: 1008.03 at epoch=51 step=11301    
[04/21/26 23:08:22] WARNING  High grad norm: 518.45 at epoch=51 step=11302     
                    WARNING  High grad norm: 957.37 at epoch=51 step=11303     
                    WARNING  High grad norm: 860.31 at epoch=51 step=11304     
                    WARNING  High grad norm: 609.46 at epoch=51 step=11305     
                    WARNING  High grad norm: 616.58 at epoch=51 step=11306     
[04/21/26 23:08:23] WARNING  High grad norm: 2511.68 at epoch=51 step=11307    
                    WARNING  High grad norm: 664.84 at epoch=51 step=11308     
                    WARNING  High grad norm: 1234.94 at epoch=51 step=11309    
                    WARNING  High grad norm: 963.01 at epoch=51 step=11310     
[04/21/26 23:08:24] WARNING  High grad norm: 726.76 at epoch=51 step=11311     
                    WARNING  High grad norm: 1657.75 at epoch=51 step=11312    
                    WARNING  High grad norm: 995.15 at epoch=51 step=11313     
                    WARNING  High grad norm: 976.69 at epoch=51 step=11314     
                    WARNING  High grad norm: 2409.56 at epoch=51 step=11315    
[04/21/26 23:08:25] WARNING  High grad norm: 1117.26 at epoch=51 step=11316    
                    WARNING  High grad norm: 608.87 at epoch=51 step=11317     
                    WARNING  High grad norm: 840.66 at epoch=51 step=11318     
                    WARNING  High grad norm: 724.37 at epoch=51 step=11319     
[04/21/26 23:08:26] WARNING  High grad norm: 1329.21 at epoch=51 step=11320    
                    WARNING  High grad norm: 1204.85 at epoch=51 step=11321    
                    WARNING  High grad norm: 1600.26 at epoch=51 step=11322    
                    WARNING  High grad norm: 925.98 at epoch=51 step=11323     
                    WARNING  High grad norm: 2651.18 at epoch=51 step=11324    
[04/21/26 23:08:27] WARNING  High grad norm: 985.42 at epoch=51 step=11325     
                    WARNING  High grad norm: 1507.57 at epoch=51 step=11326    
                    WARNING  High grad norm: 2909.66 at epoch=51 step=11327    
                    WARNING  High grad norm: 1069.64 at epoch=51 step=11328    
                    WARNING  High grad norm: 1043.14 at epoch=51 step=11329    
[04/21/26 23:08:28] WARNING  High grad norm: 1079.50 at epoch=51 step=11330    
                    WARNING  High grad norm: 2256.68 at epoch=51 step=11331    
                    WARNING  High grad norm: 1963.75 at epoch=51 step=11332    
                    WARNING  High grad norm: 1118.75 at epoch=51 step=11333    
[04/21/26 23:08:29] WARNING  High grad norm: 445.92 at epoch=51 step=11334     
                    WARNING  High grad norm: 637.97 at epoch=51 step=11335     
                    WARNING  High grad norm: 1582.78 at epoch=51 step=11336    
                    WARNING  High grad norm: 1052.69 at epoch=51 step=11337    
                    WARNING  High grad norm: 1256.91 at epoch=51 step=11338    
[04/21/26 23:08:30] WARNING  High grad norm: 1042.69 at epoch=51 step=11339    
                    WARNING  High grad norm: 714.00 at epoch=51 step=11340     
                    WARNING  High grad norm: 599.93 at epoch=51 step=11341     
                    WARNING  High grad norm: 586.38 at epoch=51 step=11342     
[04/21/26 23:08:31] WARNING  High grad norm: 1209.96 at epoch=51 step=11343    
                    WARNING  High grad norm: 734.93 at epoch=51 step=11344     
                    WARNING  High grad norm: 2131.99 at epoch=51 step=11345    
                    WARNING  High grad norm: 875.99 at epoch=51 step=11346     
                    WARNING  High grad norm: 861.71 at epoch=51 step=11347     
[04/21/26 23:08:32] WARNING  High grad norm: 1105.58 at epoch=51 step=11348    
                    WARNING  High grad norm: 565.97 at epoch=51 step=11349     
                    WARNING  High grad norm: 914.18 at epoch=51 step=11350     
                    WARNING  High grad norm: 1417.20 at epoch=51 step=11351    
[04/21/26 23:08:33] WARNING  High grad norm: 788.38 at epoch=51 step=11352     
                    WARNING  High grad norm: 877.53 at epoch=51 step=11353     
                    WARNING  High grad norm: 817.28 at epoch=51 step=11354     
                    WARNING  High grad norm: 803.86 at epoch=51 step=11355     
                    WARNING  High grad norm: 499.76 at epoch=51 step=11356     
[04/21/26 23:08:34] WARNING  High grad norm: 734.75 at epoch=51 step=11357     
                    WARNING  High grad norm: 1040.91 at epoch=51 step=11358    
                    WARNING  High grad norm: 1150.03 at epoch=51 step=11359    
                    WARNING  High grad norm: 668.33 at epoch=51 step=11360     
                    WARNING  High grad norm: 701.22 at epoch=51 step=11361     
[04/21/26 23:08:35] WARNING  High grad norm: 1164.12 at epoch=51 step=11362    
                    WARNING  High grad norm: 1505.84 at epoch=51 step=11363    
                    WARNING  High grad norm: 1595.41 at epoch=51 step=11364    
                    WARNING  High grad norm: 576.35 at epoch=51 step=11365     
[04/21/26 23:08:36] WARNING  High grad norm: 974.65 at epoch=51 step=11366     
                    WARNING  High grad norm: 1184.96 at epoch=51 step=11367    
                    WARNING  High grad norm: 980.57 at epoch=51 step=11368     
                    WARNING  High grad norm: 632.87 at epoch=51 step=11369     
                    WARNING  High grad norm: 1400.60 at epoch=51 step=11370    
[04/21/26 23:08:37] WARNING  High grad norm: 648.99 at epoch=51 step=11371     
                    WARNING  High grad norm: 944.16 at epoch=51 step=11372     
[04/21/26 23:08:38] INFO     epoch=51 avg_loss=483.5213 lr=1.00e-06            
[04/21/26 23:08:51] WARNING  High grad norm: 1120.73 at epoch=52 step=11373    
[04/21/26 23:08:52] WARNING  High grad norm: 2119.73 at epoch=52 step=11374    
                    WARNING  High grad norm: 854.84 at epoch=52 step=11375     
                    WARNING  High grad norm: 895.17 at epoch=52 step=11376     
                    WARNING  High grad norm: 1591.63 at epoch=52 step=11377    
                    WARNING  High grad norm: 882.25 at epoch=52 step=11378     
[04/21/26 23:08:53] WARNING  High grad norm: 1035.67 at epoch=52 step=11379    
                    WARNING  High grad norm: 691.17 at epoch=52 step=11380     
                    WARNING  High grad norm: 685.47 at epoch=52 step=11381     
                    WARNING  High grad norm: 529.61 at epoch=52 step=11382     
                    WARNING  High grad norm: 853.89 at epoch=52 step=11383     
[04/21/26 23:08:54] WARNING  High grad norm: 620.49 at epoch=52 step=11384     
                    WARNING  High grad norm: 733.36 at epoch=52 step=11385     
                    WARNING  High grad norm: 1388.72 at epoch=52 step=11386    
                    WARNING  High grad norm: 1673.43 at epoch=52 step=11387    
[04/21/26 23:08:55] WARNING  High grad norm: 586.68 at epoch=52 step=11388     
                    WARNING  High grad norm: 974.94 at epoch=52 step=11389     
                    WARNING  High grad norm: 1049.84 at epoch=52 step=11390    
                    WARNING  High grad norm: 613.09 at epoch=52 step=11391     
                    WARNING  High grad norm: 459.81 at epoch=52 step=11392     
[04/21/26 23:08:56] WARNING  High grad norm: 704.40 at epoch=52 step=11393     
                    WARNING  High grad norm: 1220.61 at epoch=52 step=11394    
                    WARNING  High grad norm: 1530.57 at epoch=52 step=11395    
                    WARNING  High grad norm: 1642.92 at epoch=52 step=11396    
[04/21/26 23:08:57] WARNING  High grad norm: 1057.97 at epoch=52 step=11397    
                    WARNING  High grad norm: 552.78 at epoch=52 step=11398     
                    WARNING  High grad norm: 1032.02 at epoch=52 step=11399    
                    INFO     epoch=52 step=11400 loss=464.8947                 
                             grad_norm=1032.0242 lr=1.00e-06                   
                    WARNING  High grad norm: 1255.03 at epoch=52 step=11400    
                    WARNING  High grad norm: 917.83 at epoch=52 step=11401     
[04/21/26 23:08:58] WARNING  High grad norm: 1094.45 at epoch=52 step=11402    
                    WARNING  High grad norm: 549.35 at epoch=52 step=11403     
                    WARNING  High grad norm: 510.99 at epoch=52 step=11404     
                    WARNING  High grad norm: 1631.76 at epoch=52 step=11405    
[04/21/26 23:08:59] WARNING  High grad norm: 895.16 at epoch=52 step=11406     
                    WARNING  High grad norm: 646.50 at epoch=52 step=11407     
                    WARNING  High grad norm: 917.77 at epoch=52 step=11408     
                    WARNING  High grad norm: 964.68 at epoch=52 step=11409     
                    WARNING  High grad norm: 1737.54 at epoch=52 step=11410    
[04/21/26 23:09:00] WARNING  High grad norm: 589.40 at epoch=52 step=11411     
                    WARNING  High grad norm: 1579.12 at epoch=52 step=11412    
                    WARNING  High grad norm: 796.86 at epoch=52 step=11413     
                    WARNING  High grad norm: 949.65 at epoch=52 step=11414     
[04/21/26 23:09:01] WARNING  High grad norm: 655.91 at epoch=52 step=11415     
                    WARNING  High grad norm: 639.30 at epoch=52 step=11416     
                    WARNING  High grad norm: 1966.15 at epoch=52 step=11417    
                    WARNING  High grad norm: 974.52 at epoch=52 step=11418     
                    WARNING  High grad norm: 1461.58 at epoch=52 step=11419    
[04/21/26 23:09:02] WARNING  High grad norm: 985.74 at epoch=52 step=11420     
                    WARNING  High grad norm: 863.26 at epoch=52 step=11421     
                    WARNING  High grad norm: 1124.14 at epoch=52 step=11422    
                    WARNING  High grad norm: 880.21 at epoch=52 step=11423     
                    WARNING  High grad norm: 709.67 at epoch=52 step=11424     
[04/21/26 23:09:03] WARNING  High grad norm: 1220.17 at epoch=52 step=11425    
                    WARNING  High grad norm: 867.80 at epoch=52 step=11426     
                    WARNING  High grad norm: 1108.39 at epoch=52 step=11427    
                    WARNING  High grad norm: 920.87 at epoch=52 step=11428     
[04/21/26 23:09:04] WARNING  High grad norm: 1185.45 at epoch=52 step=11429    
                    WARNING  High grad norm: 1694.88 at epoch=52 step=11430    
                    WARNING  High grad norm: 1937.18 at epoch=52 step=11431    
                    WARNING  High grad norm: 1379.91 at epoch=52 step=11432    
                    WARNING  High grad norm: 554.71 at epoch=52 step=11433     
[04/21/26 23:09:05] WARNING  High grad norm: 1871.03 at epoch=52 step=11434    
                    WARNING  High grad norm: 870.93 at epoch=52 step=11435     
                    WARNING  High grad norm: 985.99 at epoch=52 step=11436     
                    WARNING  High grad norm: 1093.31 at epoch=52 step=11437    
[04/21/26 23:09:06] WARNING  High grad norm: 562.32 at epoch=52 step=11438     
                    WARNING  High grad norm: 929.20 at epoch=52 step=11439     
                    WARNING  High grad norm: 1385.19 at epoch=52 step=11440    
                    WARNING  High grad norm: 1435.15 at epoch=52 step=11441    
                    WARNING  High grad norm: 2409.48 at epoch=52 step=11442    
[04/21/26 23:09:07] WARNING  High grad norm: 1513.26 at epoch=52 step=11443    
                    WARNING  High grad norm: 2435.22 at epoch=52 step=11444    
                    WARNING  High grad norm: 1159.36 at epoch=52 step=11445    
                    WARNING  High grad norm: 1268.16 at epoch=52 step=11446    
[04/21/26 23:09:08] WARNING  High grad norm: 1778.01 at epoch=52 step=11447    
                    WARNING  High grad norm: 735.03 at epoch=52 step=11448     
                    WARNING  High grad norm: 599.86 at epoch=52 step=11449     
                    WARNING  High grad norm: 1389.50 at epoch=52 step=11450    
                    WARNING  High grad norm: 719.77 at epoch=52 step=11451     
[04/21/26 23:09:09] WARNING  High grad norm: 652.63 at epoch=52 step=11452     
                    WARNING  High grad norm: 929.95 at epoch=52 step=11453     
                    WARNING  High grad norm: 916.23 at epoch=52 step=11454     
                    WARNING  High grad norm: 1163.02 at epoch=52 step=11455    
[04/21/26 23:09:10] WARNING  High grad norm: 660.25 at epoch=52 step=11456     
                    WARNING  High grad norm: 1999.67 at epoch=52 step=11457    
                    WARNING  High grad norm: 1431.96 at epoch=52 step=11458    
                    WARNING  High grad norm: 916.63 at epoch=52 step=11459     
                    WARNING  High grad norm: 812.62 at epoch=52 step=11460     
[04/21/26 23:09:11] WARNING  High grad norm: 757.31 at epoch=52 step=11461     
                    WARNING  High grad norm: 1882.06 at epoch=52 step=11462    
                    WARNING  High grad norm: 1833.61 at epoch=52 step=11463    
                    WARNING  High grad norm: 930.16 at epoch=52 step=11464     
[04/21/26 23:09:12] WARNING  High grad norm: 789.68 at epoch=52 step=11465     
                    WARNING  High grad norm: 1064.70 at epoch=52 step=11466    
                    WARNING  High grad norm: 546.14 at epoch=52 step=11467     
                    WARNING  High grad norm: 1159.01 at epoch=52 step=11468    
                    WARNING  High grad norm: 957.40 at epoch=52 step=11469     
[04/21/26 23:09:13] WARNING  High grad norm: 1053.98 at epoch=52 step=11470    
                    WARNING  High grad norm: 964.81 at epoch=52 step=11471     
                    WARNING  High grad norm: 802.10 at epoch=52 step=11472     
                    WARNING  High grad norm: 1070.07 at epoch=52 step=11473    
                    WARNING  High grad norm: 592.79 at epoch=52 step=11474     
[04/21/26 23:09:14] WARNING  High grad norm: 746.12 at epoch=52 step=11475     
                    WARNING  High grad norm: 919.76 at epoch=52 step=11476     
                    WARNING  High grad norm: 710.42 at epoch=52 step=11477     
                    WARNING  High grad norm: 994.45 at epoch=52 step=11478     
[04/21/26 23:09:15] WARNING  High grad norm: 1473.76 at epoch=52 step=11479    
                    WARNING  High grad norm: 1175.38 at epoch=52 step=11480    
