Training FashionMNIST score v2: 50 epochs, batch=256, device=auto
Checkpoints -> C:\Users\artun\Desktop\ITS-project\checkpoints\score_fmnist_v2
JSONL log    -> C:\Users\artun\Desktop\ITS-project\logs\fmnist_score_v2.jsonl
[04/19/26 17:32:22] WARNING  High grad norm: 8548.74 at epoch=16 step=3426     
                    WARNING  High grad norm: 3971.75 at epoch=16 step=3427     
                    WARNING  High grad norm: 4704.97 at epoch=16 step=3428     
                    WARNING  High grad norm: 4289.13 at epoch=16 step=3429     
                    WARNING  High grad norm: 2768.25 at epoch=16 step=3430     
[04/19/26 17:32:23] WARNING  High grad norm: 3674.33 at epoch=16 step=3431     
                    WARNING  High grad norm: 10399.72 at epoch=16 step=3432    
                    WARNING  High grad norm: 6438.00 at epoch=16 step=3433     
                    WARNING  High grad norm: 14521.91 at epoch=16 step=3434    
[04/19/26 17:32:24] WARNING  High grad norm: 11829.64 at epoch=16 step=3435    
                    WARNING  High grad norm: 6825.45 at epoch=16 step=3436     
                    WARNING  High grad norm: 10180.49 at epoch=16 step=3437    
                    WARNING  High grad norm: 5909.10 at epoch=16 step=3438     
[04/19/26 17:32:25] WARNING  High grad norm: 6519.17 at epoch=16 step=3439     
                    WARNING  High grad norm: 8564.13 at epoch=16 step=3440     
                    WARNING  High grad norm: 9996.61 at epoch=16 step=3441     
                    WARNING  High grad norm: 13041.31 at epoch=16 step=3442    
                    WARNING  High grad norm: 10034.11 at epoch=16 step=3443    
[04/19/26 17:32:26] WARNING  High grad norm: 6769.54 at epoch=16 step=3444     
                    WARNING  High grad norm: 7309.77 at epoch=16 step=3445     
                    WARNING  High grad norm: 9592.23 at epoch=16 step=3446     
                    WARNING  High grad norm: 9361.05 at epoch=16 step=3447     
[04/19/26 17:32:27] WARNING  High grad norm: 5617.51 at epoch=16 step=3448     
                    WARNING  High grad norm: 5046.47 at epoch=16 step=3449     
                    WARNING  High grad norm: 9071.94 at epoch=16 step=3450     
                    WARNING  High grad norm: 9939.40 at epoch=16 step=3451     
                    WARNING  High grad norm: 8372.80 at epoch=16 step=3452     
[04/19/26 17:32:28] WARNING  High grad norm: 8665.52 at epoch=16 step=3453     
                    WARNING  High grad norm: 8898.78 at epoch=16 step=3454     
                    WARNING  High grad norm: 7218.63 at epoch=16 step=3455     
                    WARNING  High grad norm: 12946.83 at epoch=16 step=3456    
[04/19/26 17:32:29] WARNING  High grad norm: 8722.28 at epoch=16 step=3457     
                    WARNING  High grad norm: 3957.04 at epoch=16 step=3458     
                    WARNING  High grad norm: 7552.77 at epoch=16 step=3459     
                    WARNING  High grad norm: 7034.72 at epoch=16 step=3460     
[04/19/26 17:32:30] WARNING  High grad norm: 5045.14 at epoch=16 step=3461     
                    WARNING  High grad norm: 10148.24 at epoch=16 step=3462    
                    WARNING  High grad norm: 9947.58 at epoch=16 step=3463     
                    WARNING  High grad norm: 10598.32 at epoch=16 step=3464    
                    WARNING  High grad norm: 10743.90 at epoch=16 step=3465    
[04/19/26 17:32:31] WARNING  High grad norm: 6138.52 at epoch=16 step=3466     
                    WARNING  High grad norm: 6839.49 at epoch=16 step=3467     
                    WARNING  High grad norm: 10994.36 at epoch=16 step=3468    
                    WARNING  High grad norm: 6136.12 at epoch=16 step=3469     
[04/19/26 17:32:32] WARNING  High grad norm: 17378.18 at epoch=16 step=3470    
                    WARNING  High grad norm: 16557.20 at epoch=16 step=3471    
                    WARNING  High grad norm: 3140.15 at epoch=16 step=3472     
                    WARNING  High grad norm: 13551.87 at epoch=16 step=3473    
[04/19/26 17:32:33] WARNING  High grad norm: 20244.22 at epoch=16 step=3474    
                    WARNING  High grad norm: 9460.34 at epoch=16 step=3475     
                    WARNING  High grad norm: 12259.79 at epoch=16 step=3476    
                    WARNING  High grad norm: 3150.39 at epoch=16 step=3477     
                    WARNING  High grad norm: 12741.79 at epoch=16 step=3478    
[04/19/26 17:32:34] WARNING  High grad norm: 6231.85 at epoch=16 step=3479     
[04/19/26 17:32:35] WARNING  High grad norm: 11478.97 at epoch=16 step=3480    
                    WARNING  High grad norm: 8509.08 at epoch=16 step=3481     
[04/19/26 17:32:36] WARNING  High grad norm: 9409.74 at epoch=16 step=3482     
                    WARNING  High grad norm: 9936.78 at epoch=16 step=3483     
                    WARNING  High grad norm: 9696.63 at epoch=16 step=3484     
[04/19/26 17:32:38] WARNING  High grad norm: 11530.72 at epoch=16 step=3485    
